S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
3,UPENDRA KUSHWAHA,Rashtriya Lok Morcha,253088,788,253876,24.61
4,DHEERAJ KUMAR SINGH,Bahujan Samaj Party,23549,108,23657,2.29
5,RAJA RAM SINGH,Independent,21357,26,21383,2.07
6,PRIYANKA PRASAD CHOUDHARY,All India Majlis-E-Ittehadul Muslimeen,10983,23,11006,1.07
7,AJEET KUMAR SINGH,Peoples Party of India (Democratic),9634,19,9653,0.94
8,VIKASH VINAYAK,Jan Janwadi Party,7661,3,7664,0.74
9,INDRA RAJ ROUSHAN,Independent,6315,9,6324,0.61
10,PRADEEP KUMAR JOSHI,Rashtra Sewa Dal,5891,28,5919,0.57
11,AVADHESH PASAWAN,Bharatiya Aam Awam Party,5527,58,5585,0.54
12,RAJESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),5003,3,5006,0.49
13,PRAYAG PASWAN,Socialist Unity Centre Of India (COMMUNIST),4641,5,4646,0.45
14,NOTA,None of the Above,21548,47,21595,2.09
1,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88
2,CHANDESHWAR PRASAD,Janata Dal (United),299044,1400,300444,32.47
3,ARUN KUMAR,Bahujan Samaj Party,85696,684,86380,9.33
4,MINTA DEVI,Independent,16112,11,16123,1.74
5,MUNILAL YADAV,Independent,13021,8,13029,1.41
6,ASHUTOSH KUMAR,Rashtriya Jan Jan Party,12954,259,13213,1.43
7,DEEPAK KUMAR,Jagrook Janta Party,8944,26,8970,0.97
8,BUDDHADEV SAV,Independent,5765,8,5773,0.62
9,NARESH KUMAR,Independent,5709,3,5712,0.62
10,CHANDESHWAR PRASAD,Independent,5356,22,5378,0.58
11,PIYUSH SINGH,Shoshit Samaj Dal,4611,7,4618,0.5
12,RAJ KISHOR SHARMA,Bhartiya Sarthak Party,3230,13,3243,0.35
13,KAPIL CHAUHAN,Jan Janwadi Party,2954,10,2964,0.32
14,ASHUTOSH VINAY KUMAR,Rashtriya Garib Dal,2895,14,2909,0.31
15,UMA SHANKAR VERMA,Socialist Unity Centre Of India (COMMUNIST),2509,15,2524,0.27
16,NOTA,None of the Above,10960,95,11055,1.19
1,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22
2,SUSHIL KUMAR SINGH,Bharatiya Janata Party,384819,1637,386456,40.86
3,SUNESH KUMAR,Bahujan Samaj Party,20232,77,20309,2.15
4,PRATIBHA RANI,Peoples Party of India (Democratic),12265,43,12308,1.3
5,RAJ BALLABH SINGH,Independent,11150,9,11159,1.18
6,RAMJIT SINGH,Rashtriya Jansambhavna Party,9237,6,9243,0.98
7,SURESH PRASAD VERMA,Independent,6704,7,6711,0.71
8,MOHAMMAD WALIULLAH KHAN,Independent,6591,13,6604,0.7
9,SHAILESH RAHI,Akhil Hind Forward Bloc (Krantikari),4892,4,4896,0.52
10,NOTA,None of the Above,22566,61,22627,2.39
1,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),492732,2228,494960,51.36
2,KUMAR SARVJEET,Rashtriya Janata Dal,390469,2679,393148,40.8
3,SUSHMA KUMARI,Bahujan Samaj Party,12234,142,12376,1.28
4,DEVENDRA PRATAP,Independent,9209,2,9211,0.96
5,DHEERENDRA PRASAD,Loktantrik Samajwadi Party,5616,13,5629,0.58
6,GIRIDHAR SAPERA,The National Road Map Party of India,4708,19,4727,0.49
7,RANU KUMAR CHAUDHARY,Independent,4495,10,4505,0.47
8,RANJAN KUMAR,Independent,4233,1,4234,0.44
9,AYUSH KUMAR,Independent,4098,5,4103,0.43
10,SURENDRA MANJHI,Rashtriya Jansambhavna Party,3023,12,3035,0.31
11,AMRESH KUMAR,Independent,2800,21,2821,0.29
12,ASHOK KUMAR PASWAN,Independent,2692,9,2701,0.28
13,ARUN KUMAR,Independent,2531,23,2554,0.27
14,SHEO SHANKAR,Bhartiya Lok Chetna Party,2370,14,2384,0.25
15,NOTA,None of the Above,17177,111,17288,1.79
1,VIVEK THAKUR,Bharatiya Janata Party,408537,2071,410608,47.2
2,SHRAWAN KUMAR,Rashtriya Janata Dal,340562,2376,342938,39.42
3,BINOD YADAV,Independent,39391,128,39519,4.54
4,GUNJAN KUMAR,Independent,29444,238,29682,3.41
5,RANJIT KUMAR,Bahujan Samaj Party,16240,76,16316,1.88
6,ANAND KUMAR VERMA,Bharat Jan Jagran Dal,7727,9,7736,0.89
7,GAUTAM KUMAR BABLOO,Bhagidari Party(P),5886,3,5889,0.68
8,GANAURI PANDIT,Peoples Party of India (Democratic),4558,32,4590,0.53
9,NOTA,None of the Above,12555,37,12592,1.45
1,LOVELY ANAND,Janata Dal (United),475709,903,476612,45.15
2,RITU JAISWAL,Rashtriya Janata Dal,445482,1987,447469,42.39
3,AKHILESHWAR SHRIVAISHANV,Independent,29014,80,29094,2.76
4,KANHAIYA KUMAR,Independent,20585,7,20592,1.95
5,RANA RANJIT,All India Majlis-E-Ittehadul Muslimeen,11947,32,11979,1.13
6,SUDHIR KUMAR SINGH,Viro Ke Vir Indian Party,9096,6,9102,0.86
7,VIJENDRA THAKUR,Bahujan Samaj Party,8865,23,8888,0.84
8,UPENDRA SAHANI,Rashtriya Jansambhavna Party,6332,6,6338,0.6
9,MAMTA KUMARI,Samata Party,5431,4,5435,0.51
10,MOHAMMAD MAHTAB ALAM,Samaj Shakti Party,4867,4,4871,0.46
11,JAGDISH PRASAD,Bajjikanchal Vikas Party,2950,5,2955,0.28
12,DILIP KUMAR MISHRA,Prabal Bharat Party,2097,2,2099,0.2
13,NOTA,None of the Above,30130,38,30168,2.86
1,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),508179,867,509046,51.98
2,ARCHANA KUMARI,Rashtriya Janata Dal,395696,868,396564,40.5
3,SUBHASH PASWAN,Independent,13841,34,13875,1.42
4,SAKALDEO DAS,Bahujan Samaj Party,12313,53,12366,1.26
5,SRAWON KUMAR,Rashtriya Jansambhavna Party,8604,21,8625,0.88
6,JAGDISH PRASAD,Loktantrik Samajik Nyay Party,6532,10,6542,0.67
7,SANTOSH KUMAR DAS,Socialist Unity Centre Of India (COMMUNIST),6025,8,6033,0.62
8,NOTA,None of the Above,26148,34,26182,2.67
1,DEVESH CHANDRA THAKUR,Janata Dal (United),514940,779,515719,47.14
2,ARJUN RAY,Rashtriya Janata Dal,463107,1256,464363,42.45
3,SAIQUA NAWAZ AZMAT,Independent,28911,1,28912,2.64
4,SHYAM NANDAN KISHOR PRASAD,Independent,11173,15,11188,1.02
5,BHOLA SINGH,Bahujan Samaj Party,8773,37,8810,0.81
6,UPENDRA SAHANI,Rashtriya Jansambhavna Party,8446,8,8454,0.77
7,CHANDRIKA PRASAD,Independent,7109,5,7114,0.65
8,VINOD SAH,Independent,4477,4,4481,0.41
9,KRISHNA KISHORE,Independent,3280,0,3280,0.3
10,MUSHAHID RAZA,Desh Janhit Party,2190,2,2192,0.2
11,UMESH KUMAR YADAV,Independent,2126,2,2128,0.19
12,RAJENDRA MAHTO,Karpoori Janta Dal,1976,5,1981,0.18
13,ANAND KUMAR,Independent,1787,9,1796,0.16
14,ABDUL SAMAD,Independent,1439,2,1441,0.13
15,NOTA,None of the Above,32102,31,32133,2.94
1,ASHOK KUMAR YADAV,Bharatiya Janata Party,552705,723,553428,53.85
2,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,400909,574,401483,39.07
3,SHIV BODHAN SAHU,Independent,13365,5,13370,1.3
4,BIKASH KUMAR,Bahujan Samaj Party,7197,26,7223,0.7
5,PRIYE RANJAN,Independent,7046,4,7050,0.69
6,VAIDYANATH YADAV,Peoples Party of India (Democratic),4980,3,4983,0.48
7,SARFARAJ ALAM,Akhil Bhartiya Parivar Party,4620,3,4623,0.45
8,MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,4492,6,4498,0.44
9,MOHAN SHARMA,Rashtriya Jansambhavna Party,4460,4,4464,0.43
10,ABU BAKAR RAHMANI,Country Citizen Party,2095,2,2097,0.2
11,UDAY MANDAL,Samata Party,1998,9,2007,0.2
12,KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,1780,3,1783,0.17
13,NOTA,None of the Above,20691,28,20719,2.02
1,RAMPRIT MANDAL,Janata Dal (United),532138,894,533032,48.73
2,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,31.9
3,GULAB YADAV,Bahujan Samaj Party,73532,352,73884,6.76
4,RAM PRASAD RAUT,Independent,25993,17,26010,2.38
5,GANGA PRASAD YADAV,Independent,18064,10,18074,1.65
6,GAURI SHANKAR SAHU,Independent,14307,18,14325,1.31
7,RAJIV KUMAR JHA,Independent,12488,25,12513,1.14
8,BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,1.07
9,VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,0.99
10,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),8556,21,8577,0.78
11,NOTA,None of the Above,35846,82,35928,3.28
1,DILESHWAR KAMAIT,Janata Dal (United),592922,2116,595038,48.33
2,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,422037,3198,425235,34.54
3,BAIDYA NATH MEHTA,Independent,51325,327,51652,4.2
4,YOG NARAYAN SINGH,Independent,27447,7,27454,2.23
5,VINDESHWARI PRASAD,Independent,18450,7,18457,1.5
6,KIRAN DEVI,Bahujan Samaj Party,17961,118,18079,1.47
7,MOHD KALIM KHAN,Rashtriya Jansambhavna Party,14064,14,14078,1.14
8,UMESH PRASAD SAH,Jai Hind Party,12971,43,13014,1.06
9,RAJ KUMAR YADAV,Viro Ke Vir Indian Party,10795,11,10806,0.88
10,RAMESH KUMAR ANAND,"Proutist Bloc, India",9439,12,9451,0.77
11,ABDUL MATIN,Independent,7177,17,7194,0.58
12,BAMBAM KUMAR,Independent,7000,6,7006,0.57
13,NITISH KUMAR,Independent,5894,21,5915,0.48
14,AJAY KUMAR SAH,Independent,5330,21,5351,0.43
15,SHIV HARI AGRAWAL,Bharat Nirman Party,3770,2,3772,0.31
16,NOTA,None of the Above,18444,168,18612,1.51
1,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91
2,SHAHNAWAZ,Rashtriya Janata Dal,578904,1148,580052,46.31
3,SHATRUGHAN PRASAD SUMAN,Independent,13697,49,13746,1.1
4,MD GHOUSUL AZAM,Bahujan Samaj Party,12672,18,12690,1.01
5,MD. MOBINUL HAQUE,Independent,12005,3,12008,0.96
6,MD. ISMAIL,Bharatiya Momin Front,7353,1,7354,0.59
7,AKHILESH KUMAR,Independent,5086,34,5120,0.41
8,MUSHTAK ALAM,Independent,4897,2,4899,0.39
9,ZAWED AKHTAR,The National Road Map Party of India,3037,4,3041,0.24
10,NOTA,None of the Above,13438,66,13504,1.08
1,SUNIL KUMAR,Janata Dal (United),522495,927,523422,47.5
2,DEEPAK YADAV,Rashtriya Janata Dal,422959,1788,424747,38.55
3,PRAVESH KUMAR MISHRA @ ANUP,Independent,23195,30,23225,2.11
4,DINESH AGRAWAL,Independent,19787,23,19810,1.8
5,DURGESH SINGH CHAUHAN,Bahujan Samaj Party,18739,77,18816,1.71
6,CHANDRESHWAR MISHRA,Independent,13590,8,13598,1.23
7,SHAFI MOHAMMAD MIYA,Aazad Samaj Party (Kanshi Ram),13419,13,13432,1.22
8,PARSHURAM SAH,Independent,12142,8,12150,1.1
9,NABA KUMAR SARANIA (HIRA BHAI),Gana Suraksha Party,11420,3,11423,1.04
10,SHAMBHU PRASAD,Independent,10478,20,10498,0.95
11,NOTA,None of the Above,30673,36,30709,2.79
1,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35.0
2,MUJAHID ALAM,Janata Dal (United),342795,363,343158,29.81
3,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,309011,253,309264,26.87
4,BIDESHI RISHIDEV,Independent,11815,3,11818,1.03
5,VISHWANATH TUDU,Independent,11300,2,11302,0.98
6,MD GUFRAN JAMALI,Independent,9992,1,9993,0.87
7,HASIRUL,Independent,9522,2,9524,0.83
8,BABUL ALAM,Bahujan Samaj Party,7575,4,7579,0.66
9,RAVI KUMAR ROY,Independent,7299,3,7302,0.63
10,SHAHABUZZAMA BHARTIYA,Rashtriya Samaj Paksha,6055,0,6055,0.53
11,CHHOTE LAL MAHTO,Independent,3758,5,3763,0.33
12,MOHAMMAD KAUSAR PERWEZ,Independent,3525,0,3525,0.31
13,NOTA,None of the Above,24953,13,24966,2.17
1,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41
2,DULAL CHANDRA GOSWAMI,Janata Dal (United),516199,1030,517229,44.15
3,GOPAL KUMAR MAHTO,Bahujan Samaj Party,14452,46,14498,1.24
4,GYANESHWAR SOREN,Independent,12307,10,12317,1.05
5,KHALID MOBARAK,Independent,10828,43,10871,0.93
6,RAJ KUMAR MANDAL,Rashtriya Jansambhavna Party,8473,14,8487,0.72
7,VISHNU SINGH,Bharat Jago Janta Party,6303,37,6340,0.54
8,MARANG HANSADA,Peoples Party of India (Democratic),5875,14,5889,0.5
9,BINDU KUMARI,Samaj Shakti Party,5866,18,5884,0.5
10,NOTA,None of the Above,22866,73,22939,1.96
1,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,566867,689,567556,47.46
2,SANTOSH KUMAR,Janata Dal (United),543313,396,543709,45.47
3,BIMA BHARTI,Rashtriya Janata Dal,27017,103,27120,2.27
4,ARUN DAS,Bahujan Samaj Party,10595,24,10619,0.89
5,SATYENDRA YADAV,Independent,8457,2,8459,0.71
6,NOMAN ALAM,Independent,7693,0,7693,0.64
7,KISHOR KUMAR YADAV,All India Forward Bloc,6846,8,6854,0.57
8,NOTA,None of the Above,23819,15,23834,1.99
1,DINESH CHANDRA YADAV,Janata Dal (United),639758,891,640649,52.96
2,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,464982,1133,466115,38.53
3,SURESHWAR PODDAR,Aadarsh Mithila Party,15423,11,15434,1.28
4,MD ARSHAD HUSSAIN,Bahujan Samaj Party,12947,44,12991,1.07
5,JAWAHAR LAL JAISWAL,Socialist Unity Centre Of India (COMMUNIST),11320,2,11322,0.94
6,UCHESHWAR PANDIT,Samajhdar Party,11127,22,11149,0.92
7,PRO KAMESHWAR YADAV,Bharatiya Jan Kranti Dal (Democratic),10665,9,10674,0.88
8,AJABLAL MEHTA,Yuva Krantikari Party,8720,16,8736,0.72
9,NOTA,None of the Above,32557,68,32625,2.7
1,GOPAL JEE THAKUR,Bharatiya Janata Party,565706,924,566630,55.33
2,LALIT KUMAR YADAV,Rashtriya Janata Dal,387408,1066,388474,37.93
3,SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,18018,7,18025,1.76
4,DURGANANDA MAHAVIR NAYAK,Bahujan Samaj Party,8259,9,8268,0.81
5,MITHILESH MAHTO,Independent,6983,9,6992,0.68
6,KISHOR KUMAR DAS,Akhil Bhartiya Parivar Party,5716,5,5721,0.56
7,RAJNISH KUMAR,Jantantra Awaj Party,3634,4,3638,0.36
8,RANJEET KUMAR RAM,Wazib Adhikar Party,2529,3,2532,0.25
9,NOTA,None of the Above,23881,23,23904,2.33
1,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71
2,AJAY NISHAD,Indian National Congress,383759,1063,384822,34.59
3,ALOK KUMAR SINH,Independent,17225,0,17225,1.55
4,AWADHESH PRASAD SINGH,Independent,15617,1,15618,1.4
5,JITENDRA KUMAR,Independent,8692,8,8700,0.78
6,NILIMA KUMARI,Independent,7309,1,7310,0.66
7,VIJAYESH KUMAR,Bahujan Samaj Party,6530,17,6547,0.59
8,AJAY SAHNI,Independent,5157,1,5158,0.46
9,SUNITA KUMARI,Bajjikanchal Vikas Party,4791,1,4792,0.43
10,MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,4121,10,4131,0.37
11,MD HAIDAR,Independent,3897,0,3897,0.35
12,MUKESH KUMAR,Independent,3225,0,3225,0.29
13,SUDHIR KUMAR OJHA,Bhartiya Sarthak Party,2890,3,2893,0.26
14,SABINA KHATOON,Indian National League,2445,8,2453,0.22
15,SANDIP KUMAR,Jantantra Awaj Party,1968,3,1971,0.18
16,ARVIND KUMAR CHAUDHARY,Socialist Unity Centre Of India (COMMUNIST),1852,5,1857,0.17
17,AJITANSH GAUR,The Agrani Party,1840,3,1843,0.17
18,SANJAY KUMAR,Independent,1811,1,1812,0.16
19,BASKIT KUMAR SHARMA,Independent,1778,1,1779,0.16
20,SONELAL PASWAN,Independent,1730,1,1731,0.16
21,MANORANJAN KUMAR,Independent,1595,3,1598,0.14
22,NAND KISHORE SHARMA,Apna Kisan Party,1521,1,1522,0.14
23,ABHAY KUMAR,Samata Party,1170,4,1174,0.11
24,PRABHAKAR RANJAN,Ekam Sanatan Bharat Dal,1115,1,1116,0.1
25,RAJU SINGH,Independent,984,0,984,0.09
26,SAROJ KUMAR CHAUDHARY,Independent,965,0,965,0.09
27,NOTA,None of the Above,7539,49,7588,0.68
1,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38
2,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73
3,VIKKY KUMAR,Independent,34253,3,34256,2.92
4,SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83
5,RAJ NARAYAN YADAV,Independent,9614,2,9616,0.82
6,PARAMHANS SINGH,Independent,5316,1,5317,0.45
7,HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44
8,RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35
9,KUMAR SHISHIR,Independent,3903,4,3907,0.33
10,MUHAMAD AVAS,Independent,3758,0,3758,0.32
11,ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28
12,NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),2998,11,3009,0.26
13,VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25
14,ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17
15,BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12
16,NOTA,None of the Above,27420,40,27460,2.34
1,DR. ALOK KUMAR SUMAN,Janata Dal (United),510329,1537,511866,48.15
2,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19
3,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.82
4,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75
5,ANIL RAM,Independent,12988,14,13002,1.22
6,SATYENDRA BAITHA,Independent,12253,16,12269,1.15
7,BHOLA HARIJAN,Independent,11138,2,11140,1.05
8,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8
9,NAMI RAM,Independent,6716,0,6716,0.63
10,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63
11,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56
12,NOTA,None of the Above,42713,150,42863,4.03
1,VIJAYLAKSHMI DEVI,Janata Dal (United),385625,883,386508,38.73
2,HENA SHAHAB,Independent,293084,567,293651,29.42
3,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,198063,760,198823,19.92
4,SATYENDRA KUSHWAHA,Independent,21558,7,21565,2.16
5,JEEWAN KUMAR,Independent,18489,101,18590,1.86
6,DILIP KU SINGH,Bahujan Samaj Party,12032,80,12112,1.21
7,SANJAY KUMAR SAH,Bhartiya Lok Nayak Party,8851,28,8879,0.89
8,DR. RAVINDRA NATH SHUKLA,Independent,8681,12,8693,0.87
9,DEVKANT MISHRA,Independent,6162,19,6181,0.62
10,PRAMOD KUMAR,Independent,5666,2,5668,0.57
11,PRAKASH MANI TIWARI,Independent,4503,6,4509,0.45
12,MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent,3920,2,3922,0.39
13,DILIP KUMAR SINGH,Independent,1947,6,1953,0.2
14,NOTA,None of the Above,26925,39,26964,2.7
1,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22
2,AAKASH KUMAR SINGH,Indian National Congress,425887,995,426882,42.09
3,TRIBHUWAN RAM,Peoples Party of India (Democratic),14830,8,14838,1.46
4,MADHUSUDAN SINGH,Bahujan Samaj Party,13359,43,13402,1.32
5,AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,7750,17,7767,0.77
6,NOTA,None of the Above,21662,25,21687,2.14
1,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43
2,MADAN MOHAN TIWARI,Indian National Congress,441363,2490,443853,40.86
3,SANJAY KUMAR,Viro Ke Vir Indian Party,13139,6,13145,1.21
4,UPENDRA RAM,Bahujan Samaj Party,10913,49,10962,1.01
5,MOHAMMAD SOAIB,Independent,8992,2,8994,0.83
6,RAUSHAN KUMAR SRIVASTAVA,Independent,8496,9,8505,0.78
7,MD. KALAM SAI,Independent,4922,3,4925,0.45
8,NAFISH AHMAD,Independent,4163,0,4163,0.38
9,NOTA,None of the Above,11223,65,11288,1.04
1,RAJIV PRATAP RUDY,Bharatiya Janata Party,470234,1518,471752,46.18
2,ROHINI ACHARYA,Rashtriya Janata Dal,456763,1328,458091,44.84
3,LAXAMAN PRAO YADAV,Independent,22041,2,22043,2.16
4,SHAK NAUSHAD,Independent,16101,2,16103,1.58
5,AVINASH KUMAR,Bahujan Samaj Party,14708,62,14770,1.45
6,RAGHWENDRA PRATAP SINGH,Independent,5165,2,5167,0.51
7,GAJENDRA PRASAD CHAURSIYA,Janhit Kisan Party,5025,5,5030,0.49
8,SHATRUDHAN TIWARY,Bhartiya Sarthak Party,3661,26,3687,0.36
9,MOHAMAD SALIM,Independent,3148,3,3151,0.31
10,ARTI KUMARI,Independent,3009,14,3023,0.3
11,PRABHAT KUMAR,Independent,2302,4,2306,0.23
12,BARUN KUMAR DAS,Gana Suraksha Party,1770,5,1775,0.17
13,GYANI KUMAR SHARMA,Bharatiya Ekta Dal,1699,5,1704,0.17
14,RAJESH KUSHWAHA,Bhartiya Lok Chetna Party,1486,3,1489,0.15
15,NOTA,None of the Above,11382,35,11417,1.12
1,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29
2,SHIV CHANDRA RAM,Rashtriya Janata Dal,442553,3060,445613,38.57
3,SURENDRA KUMAR PASWAN,Independent,17241,4,17245,1.49
4,SHASHI SWARAJ,Bahujan Samaj Party,8591,88,8679,0.75
5,HARIWANSH PASWAN,Independent,7113,4,7117,0.62
6,SHAILENDRA KUMAR,Independent,6153,8,6161,0.53
7,ASHOK KUMAR,Samata Party,4701,20,4721,0.41
8,RANDHIR PASWAN,Independent,2671,4,2675,0.23
9,RAJ KUMAR PASWAN,Yuva Bihar Sena,1983,7,1990,0.17
10,DHARMENDRA KUMAR,Jantantra Awaj Party,1971,7,1978,0.17
11,MADHUSUDHAN PASWAN,Independent,1793,8,1801,0.16
12,RAJESH KUMAR RAUSHAN,Socialist Unity Centre Of India (COMMUNIST),1694,7,1701,0.15
13,MEGHNATH PASWAN,Independent,1680,0,1680,0.15
14,BALENDRA DAS,Janshakti Janta Dal,1308,10,1318,0.11
15,NOTA,None of the Above,36836,91,36927,3.2
1,NITYANAND RAI,Bharatiya Janata Party,515159,806,515965,49.51
2,ALOK KUMAR MEHTA,Rashtriya Janata Dal,454870,993,455863,43.75
3,SANJAY PASWAN,Independent,16961,2,16963,1.63
4,MOHAN KUMAR MAURYA,Bahujan Samaj Party,7081,20,7101,0.68
5,RAKESH KUMAR,Independent,5953,4,5957,0.57
6,SANTHOSH RAI,Rashtriya Jansambhavna Party,4423,3,4426,0.42
7,NARENDRA GIRI,Independent,3150,1,3151,0.3
8,KISHOR KUMAR,Independent,2209,0,2209,0.21
9,AMARESH RAY,Independent,2140,3,2143,0.21
10,ANSHU KUMAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1749,7,1756,0.17
11,RAMPUKAR RAY,Socialist Unity Centre Of India (COMMUNIST),1299,7,1306,0.13
12,NIKKI JHA,Jagrook Janta Party,1006,14,1020,0.1
13,MANOJ KUMAR,Janta Raj Vikas Party,937,2,939,0.09
14,NOTA,None of the Above,23246,23,23269,2.23
1,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15
2,ABDHESH KUMAR ROY,Communist Party of India,564310,3541,567851,43.86
3,INDRAJEET KUMAR ROY,Independent,12947,6,12953,1.0
4,RAJNISH KUMAR MUKHIYA,Rashtriya Jansambhavna Party,10846,26,10872,0.84
5,ADV CHANDAN KUMAR DAS,Bahujan Samaj Party,8362,91,8453,0.65
6,RAM BADAN RAI,Karpoori Janta Dal,6599,45,6644,0.51
7,MD SHAHNAWAZ HASSAN,Independent,6144,8,6152,0.48
8,ARUN KUMAR,Independent,4030,15,4045,0.31
9,RAJ KUMAR SAH,Akhil Bhartiya Parivar Party,3329,21,3350,0.26
10,RAMUDGAR,Socialist Unity Centre Of India (COMMUNIST),2633,7,2640,0.2
11,NOTA,None of the Above,22283,99,22382,1.73
1,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73
2,SANJAY KUMAR,Communist Party of India (Marxist),375988,1538,377526,35.55
3,RUPAM DEVI,Independent,27370,25,27395,2.58
4,SONU KUMAR,Independent,24478,5,24483,2.31
5,PINKESH KUMAR,Rashtriya Jan Kalyan Party Secular,19487,8,19495,1.84
6,DR RAVI KUMAR,Bahujan Samaj Party,13894,159,14053,1.32
7,AJAY KUMAR,Rashtriya Jansambhavna Party,8256,54,8310,0.78
8,PRIYADARSHEE DINKAR,Independent,7892,12,7904,0.74
9,DINANATH CHANDRAVANSHI,Independent,6142,20,6162,0.58
10,CHANDRA KISHOR THAKUR,Aam Janta Party Rashtriya,2806,43,2849,0.27
11,ASIF IMAM,Aadarsh Mithila Party,2434,9,2443,0.23
12,KANCHAN MALA,Hindustan People's Party (Democratic),1478,28,1506,0.14
13,NOTA,None of the Above,31056,55,31111,2.93
1,AJAY KUMAR MANDAL,Janata Dal (United),534923,1108,536031,50.38
2,AJEET SHARMA,Indian National Congress,430025,1138,431163,40.52
3,POONAM SINGH,Bahujan Samaj Party,12547,99,12646,1.19
4,HARERAM YADAV,Independent,12255,3,12258,1.15
5,DEEPAK KUMAR SINGH,Rashtriya Jansambhavna Party,7654,16,7670,0.72
6,CHHOTE LAL KUMAR,Independent,6677,6,6683,0.63
7,RAMESH TUDU,Independent,6629,5,6634,0.62
8,UMESH PRASAD YADAV,Peoples Party of India (Democratic),5105,21,5126,0.48
9,DEEPAK KUMAR,Socialist Unity Centre Of India (COMMUNIST),3758,5,3763,0.35
10,MUKESH KUMAR,Akhil Bhartiya Parivar Party,3670,11,3681,0.35
11,DAYARAM MANDAL,Lok Sewa Dal,3509,10,3519,0.33
12,OM PRAKASH PODDAR,Independent,3091,13,3104,0.29
13,NOTA,None of the Above,31771,32,31803,2.99
1,GIRIDHARI YADAV,Janata Dal (United),505674,1004,506678,49.96
2,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,401567,1267,402834,39.72
3,NARESH YADAV,Independent,14936,3,14939,1.47
4,JAY PRAKASH YADAV,Rashtriya Jansambhavna Party,12254,23,12277,1.21
5,AMRIT TANTI,Bhartiya Dalit Party,9615,55,9670,0.95
6,NARESH KUMAR PRIYADARSHI,Independent,8103,22,8125,0.8
7,GANESH KUMAR KUSHAWAHA,Samata Party,7627,18,7645,0.75
8,UTTAM KUMAR SINGH,Aam Janta Party Rashtriya,6874,37,6911,0.68
