S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
26,MAHINDER SINGH HAMIRA,Independent,1044,2,1046,0.1
27,NAVEEN KUMAR SHARMA,Sanjhi Virasat Party,823,1,824,0.08
28,NOTA,None of the Above,3420,32,3452,0.33
1,CHARANJIT SINGH CHANNI,Indian National Congress,389509,544,390053,39.43
2,SUSHIL KUMAR RINKU,Bharatiya Janata Party,213702,358,214060,21.64
3,PAWAN KUMAR TINU,Aam Aadmi Party,208549,340,208889,21.12
4,MOHINDER SINGH KAYPEE,Shiromani Akali Dal,67811,100,67911,6.87
5,ADVOCATE BALWINDER KUMAR,Bahujan Samaj Party,64856,85,64941,6.57
6,SARABJIT SINGH KHALSA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),19252,32,19284,1.95
7,MASTER PARSHOTAM LAL BILGA,Communist Party of India (Marxist),5948,10,5958,0.6
8,IQBAL CHAND MATTU,Independent,1956,0,1956,0.2
9,NEETU SHATTRA WALA,Independent,1878,1,1879,0.19
10,AMRISH BHAGAT,Independent,1183,1,1184,0.12
11,GURDEEP SINGH BITTU,Independent,1112,1,1113,0.11
12,RAJ KUMAR SAQI,Peoples Party of India (Democratic),1087,1,1088,0.11
13,SONIA,Republican Party of India (Athawale),1054,1,1055,0.11
14,RAJWANT KAUR KHALSA,Apna Samaj Party,948,4,952,0.1
15,BHAGAT GULSHAN AZAAD,Democratic Bharatiya Samaj Party,929,1,930,0.09
16,RAMESH LAL KALA,Independent,875,1,876,0.09
17,ASHOK KUMAR JAKHU,Independent,742,1,743,0.08
18,BAL MUKAND BAWRA,Global Republican Party,587,4,591,0.06
19,PARAMJIT KAUR TEJI,Independent,500,0,500,0.05
20,TARACHAND SHEELA,Loktantrik Lok Rajyam Party,400,1,401,0.04
21,NOTA,None of the Above,4724,19,4743,0.48
1,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04
2,YAMINI GOMAR,Indian National Congress,257936,1812,259748,27.39
3,ANITA SOM PARKASH,Bharatiya Janata Party,198576,1418,199994,21.09
4,SOHAN SINGH THANDAL,Shiromani Akali Dal,91503,286,91789,9.68
5,RANJIT KUMAR,Bahujan Samaj Party,47975,239,48214,5.08
6,JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),20680,243,20923,2.21
7,JEEVAN SINGH TAMIL,Bahujan Dravida Party,4607,14,4621,0.49
8,ROHIT KUMAR TINKU,Independent,2417,2,2419,0.26
9,RAJESH,Democratic Bharatiya Samaj Party,2330,6,2336,0.25
10,SONU SINGH PHAGWARA,Independent,1871,13,1884,0.2
11,DAVINDER SINGH,Independent,1584,33,1617,0.17
12,HARDEEP SINGH,Nationalist Justice Party,1403,22,1425,0.15
13,RAJPAL NADALI,Bahujan Mukti Party,1138,2,1140,0.12
14,BHIMRAO YASHWANT AMBEDKAR,Global Republican Party,1034,7,1041,0.11
15,SATPAL,Independent,978,15,993,0.1
16,DAVINDER KUMAR SAROYA,Samaj Bhalai Morcha,923,7,930,0.1
17,NOTA,None of the Above,5453,99,5552,0.59
1,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08
2,VIJAY INDER SINGLA,Indian National Congress,301414,957,302371,28.07
3,DR SUBHASH SHARMA,Bharatiya Janata Party,185836,742,186578,17.32
4,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,117651,285,117936,10.95
5,JASVIR SINGH GARHI,Bahujan Samaj Party,89953,204,90157,8.37
6,KUSHAL PAL SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),24725,106,24831,2.31
7,GAJJAN SINGH,Independent,6164,7,6171,0.57
8,SIMPLE KUMAR,Independent,2962,0,2962,0.27
9,SATPAL,Independent,2294,3,2297,0.21
10,GURMIT SINGH,Independent,2179,3,2182,0.2
11,DHARMINDER SINGH HARMAN,Akhil Bhartiya Parivar Party,2037,6,2043,0.19
12,SUNIL KUMAR,Bhartiya Jan Samman Party,1968,9,1977,0.18
13,ER DALJEET SINGH SAINI,Bharatheeya Jawan Kisan Party,1710,5,1715,0.16
14,KULWINDER SINGH,Democratic Bharatiya Samaj Party,1651,1,1652,0.15
15,SUNAINA,Bhartiya Rashtriya Dal,1621,19,1640,0.15
16,ADV KULWINDER SINGH,Independent,1596,4,1600,0.15
17,MEGH RAJ,Independent,1429,1,1430,0.13
18,HARWINDER KARWAL,Independent,1309,2,1311,0.12
19,DAVINDER SINGH,Independent,1164,11,1175,0.11
20,DARSHAN SINGH,Punjab National Party,1164,8,1172,0.11
21,HANISH SHARMA,Ekam Sanatan Bharat Dal,1072,4,1076,0.1
22,DEEPAK SHARMA,Independent,1012,0,1012,0.09
23,PARMINDER SINGH,Independent,930,0,930,0.09
24,YOG RAJ SAHOTA,Revolutionary Socialist Party,925,0,925,0.09
25,RAMJAAN KHAN,Independent,672,0,672,0.06
26,ROHTASH,Independent,617,2,619,0.06
27,MANDAR SINGH,Independent,555,0,555,0.05
28,KIRAN JAIN,Hindustan Shakti Sena,507,8,515,0.05
29,NOTA,None of the Above,6351,51,6402,0.59
1,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42
2,RAVNEET SINGH BITTU,Bharatiya Janata Party,300927,355,301282,28.45
3,ASHOK PRASHAR PAPPI,Aam Aadmi Party,236620,457,237077,22.38
4,RANJIT SINGH DHILLON,Shiromani Akali Dal,90073,147,90220,8.52
5,KAMALJIT SINGH BRAR,Independent,42462,38,42500,4.01
6,AMRITPAL SINGH CHHANDRAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),18199,42,18241,1.72
7,DAVINDER SINGH RAMGARHIA,Bahujan Samaj Party,10365,29,10394,0.98
8,NARESH DHINGAAN,Independent,2524,6,2530,0.24
9,RAKESH KUMAR (RICKY),Sunahara Bharat Party,2091,0,2091,0.2
10,ER. BALDEV RAJ KATNA (DEBI),Independent,2086,0,2086,0.2
11,PRITPAL SINGH,Bahujan Dravida Party,1821,3,1824,0.17
12,DR. PALWINDER KAUR,Independent,1766,2,1768,0.17
13,SANJEEV KUMAR (SANJU),Independent,1567,0,1567,0.15
14,RAJIV KUMAR MEHRA,Jan Sewa Driver Party,1516,2,1518,0.14
15,BHUPINDER SINGH,Bharatheeya Jawan Kisan Party,1287,0,1287,0.12
16,BALJIT SINGH,Independent,1137,1,1138,0.11
17,VIPAN KUMAR BATRA,Independent,1041,0,1041,0.1
18,AMANDEEP SINGH,Sehajdhari Sikh Party,981,6,987,0.09
19,PARAMJIT SINGH,Independent,927,0,927,0.09
20,BALVINDER SINGH BITTA,Independent,918,0,918,0.09
21,SIMRANDEEP SINGH,Independent,911,1,912,0.09
22,DEVINDER BHAGRIA,Hindustan Shakti Sena,859,1,860,0.08
23,KANIYA LAL (DR. KISHAN KUMAR),Independent,820,0,820,0.08
24,SUDHIR KUMAR TRIPATHI,Independent,770,0,770,0.07
25,GURDEEP SINGH KAHLON,Independent,738,0,738,0.07
26,DR. DEVINDER SINGH GILL,Aam Lok Party United,693,2,695,0.07
27,KIRPAL SINGH KAPURI,Independent,621,0,621,0.06
28,SANTOSH KUMAR,Bharatiya Inqalab Party,610,0,610,0.06
29,KAMAL PAWAR,Independent,592,0,592,0.06
30,RAVINDER PAL SINGH BABA JI BARGAR WALE,Independent,546,2,548,0.05
31,GURMEET SINGH KHARAY,Independent,516,1,517,0.05
32,RUPINDER KUMAR,Independent,467,0,467,0.04
33,CHANDI,Independent,456,0,456,0.04
34,BALDEV SINGH SUMAN,Independent,450,0,450,0.04
35,JAI - PARKASH JAIN (TITU BANIYA),Independent,419,0,419,0.04
36,SHIVAM YADAV,Global Republican Party,414,1,415,0.04
37,HARVINDER KAUR,Samajik Sangharsh Party,413,6,419,0.04
38,BHOLA SINGH,Independent,411,0,411,0.04
39,DARSHAN SINGH DABA,Nationalist Justice Party,390,0,390,0.04
40,KULDEEP KUMAR SHARMA,Independent,383,0,383,0.04
41,VISHAL KUMAR ARORA,Independent,344,0,344,0.03
42,KARNAIL SINGH,Independent,340,0,340,0.03
43,RAJINDER GHAI,Independent,284,0,284,0.03
44,NOTA,None of the Above,5040,36,5076,0.48
1,AMAR SINGH,Indian National Congress,331324,1267,332591,34.14
2,GURPREET SINGH GP,Aam Aadmi Party,297439,950,298389,30.63
3,GEJJA RAM,Bharatiya Janata Party,127139,382,127521,13.09
4,BIKRAMJIT SINGH KHALSA,Shiromani Akali Dal,126461,269,126730,13.01
5,RAJ JATINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),43543,101,43644,4.48
6,KULWANT SINGH,Bahujan Samaj Party,20786,106,20892,2.14
7,PREM SINGH MOHANPUR,Independent,3784,8,3792,0.39
8,BAHAL SINGH,Aazad Samaj Party (Kanshi Ram),3097,7,3104,0.32
9,PARAMJIT SINGH,Independent,2159,8,2167,0.22
10,RULDA SINGH,Independent,1971,6,1977,0.2
11,PARKASH PETER,Independent,1463,2,1465,0.15
12,HARJINDER SINGH,Independent,1158,8,1166,0.12
13,KAMALJEET KAUR,Independent,888,11,899,0.09
14,HARGOBIND SINGH,Independent,722,9,731,0.08
15,NOTA,None of the Above,9097,91,9188,0.94
1,SARABJEET SINGH KHALSA,Independent,296922,1140,298062,29.38
2,KARAMJIT SINGH ANMOL,Aam Aadmi Party,226676,1333,228009,22.48
3,AMARJIT KAUR SAHOKE,Indian National Congress,159352,1005,160357,15.81
4,RAJWINDER SINGH DHARAMKOT,Shiromani Akali Dal,137776,475,138251,13.63
5,HANS RAJ HANS,Bharatiya Janata Party,123007,526,123533,12.18
6,GURCHARAN SINGH MANN,Communist Party of India,14935,15,14950,1.47
7,GURBAKSH SINGH CHAUHAN,Bahujan Samaj Party,8129,81,8210,0.81
8,AVTAR SINGH SAHOTA,Independent,4155,5,4160,0.41
9,KIKKAR SINGH DHALIWAL,Independent,3514,3,3517,0.35
10,KARAM SINGH MALUKA,Independent,2859,3,2862,0.28
11,RUPINDER SINGH KOHARWALA,Nationalist Justice Party,2672,5,2677,0.26
12,BALDEV SINGH GAGRA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2367,28,2395,0.24
13,NIRMAL SINGH RAJEANA,Independent,2287,2,2289,0.23
14,BADAL SINGH BHALOOR,Bhartiya Rashtriya Dal,2027,1,2028,0.2
15,RAJ KUMAR CHAUHAN,Independent,1958,3,1961,0.19
16,OM PARKASH BANKA,Independent,1947,3,1950,0.19
17,CAPTAIN BAHADUR SINGH,Independent,1632,8,1640,0.16
18,MEJOR SINGH BHATTI,Jan Sewa Driver Party,1605,7,1612,0.16
19,SUKHBIR SINGH BABBAL BHATTI,Rashtriya Republican Party,1526,4,1530,0.15
20,GURMEET SINGH,Independent,1419,1,1420,0.14
21,AMRIK SINGH,Independent,1411,3,1414,0.14
22,MANPREET SHANT,Independent,1376,1,1377,0.14
23,PREM LAL,Democratic Bharatiya Samaj Party,1165,0,1165,0.11
24,PARGAT SINGH RAJEANA,Apna Samaj Party,1128,3,1131,0.11
25,JASWANT RAI RAJORA,Independent,1042,5,1047,0.1
26,DR DEV INDER GAGALANI,Republican Party of India,1035,5,1040,0.1
27,PRITAM SINGH,Bahujan Mukti Party,927,12,939,0.09
28,KULWANT KAUR,Sanjhi Virasat Party,785,1,786,0.08
29,NOTA,None of the Above,4077,66,4143,0.41
