S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
22,JAVEED AHMAD WANI,Independent,928,4,932,0.14
23,YOUNIS AHMAD MIR,Bharat Jodo Party,913,12,925,0.14
24,DR QAZI ASHRAF,Independent,910,9,919,0.14
25,NOTA,None of the Above,5887,111,5998,0.89
1,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,517489,4347,521836,50.85
2,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,238210,1832,240042,23.39
3,ZAFAR IQBAL KHAN MANHAS,Jammu and Kashmir Apni Party,141316,879,142195,13.86
4,MOHAMAD SALEEM PARAY,Democratic Progressive Azad Party,25440,121,25561,2.49
5,ABDUL RAOUF MALIK,Independent,10566,16,10582,1.03
6,SUSHIL KUMAR SHARMA,Independent,9102,126,9228,0.9
7,ABDUL ROUF NAIK,Independent,9079,70,9149,0.89
8,SAJAD AHMAD DAR,Independent,7988,16,8004,0.78
9,IMRAN SHEIKH,Independent,7457,28,7485,0.73
10,IMTIYAZ AHMAD,National Loktantrik Party,6936,77,7013,0.68
11,ARSHEED AHMED LONE,Jammu & Kashmir National Panthers Party (Bhim),6163,226,6389,0.62
12,BALDEV KUMAR,Independent,6120,69,6189,0.6
13,ALI MOHAMMAD WANI,Independent,5238,17,5255,0.51
14,SHEIKH MUZAFAR AHMED,Jammu and Kashmir Nationalist People's Front,4774,40,4814,0.47
15,DILIP KUMAR PANDITA,Independent,3638,84,3722,0.36
16,RAVINDER SINGH,Independent,2828,134,2962,0.29
17,GULSHAN AKHTER,Independent,2778,29,2807,0.27
18,MOHAMMAD MAQBOOL TELI,Garib Democratic Party,2731,17,2748,0.27
19,SUDARSHAN SINGH,National Awami United Party,2166,216,2382,0.23
20,JAVAID AHMED,All India Forward Bloc,1534,28,1562,0.15
21,NOTA,None of the Above,5967,256,6223,0.61
1,DR JITENDRA SINGH,Bharatiya Janata Party,566833,4243,571076,51.28
2,CH LAL SINGH,Indian National Congress,444151,2552,446703,40.11
3,GHULAM MOHD SAROORI,Independent,39519,80,39599,3.56
4,MEHRAJ DIN,Independent,9055,27,9082,0.82
5,AMIT KUMAR,Bahujan Samaj Party,8559,83,8642,0.78
6,MOHD ALI GUJJAR,Independent,7139,19,7158,0.64
7,MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778,56,6834,0.61
8,BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243,49,3292,0.3
9,SWARN VEER SINGH JARAL,Independent,3071,17,3088,0.28
10,DR PANKAJ SHARMA,Independent,2201,46,2247,0.2
11,RAJESH MANCHANDA,Independent,1575,30,1605,0.14
12,SACHIN GUPTA,Independent,1457,6,1463,0.13
13,NOTA,None of the Above,12891,47,12938,1.16
1,JUGAL KISHORE,Bharatiya Janata Party,677571,10017,687588,52.8
2,RAMAN BHALLA,Indian National Congress,546031,6059,552090,42.4
3,JAGDISH RAJ,Bahujan Samaj Party,10253,47,10300,0.79
4,SATISH POONCHI,Independent,5948,11,5959,0.46
5,ANKUR SHARMA,Ekam Sanatan Bharat Dal,4268,10,4278,0.33
6,NARESH KUMAR CHIB,Jammu & Kashmir National Panthers Party (Bhim),4231,12,4243,0.33
7,PRINCIPAL C D SHARMA,Independent,3256,1,3257,0.25
8,KARANJIT,Independent,3199,8,3207,0.25
9,SHABER AHMED,Independent,3174,3,3177,0.24
10,SHIKHA BANDRAL,National Awami United Party,2932,5,2937,0.23
11,DR PRINCE RAINA,Independent,2863,3,2866,0.22
12,RAJ KUMAR,Independent,2611,7,2618,0.2
13,SURINDER SINGH,Independent,2216,10,2226,0.17
14,ATUL RAINA,Independent,2063,5,2068,0.16
15,RATTAN LAL,Jammu & Kashmir People Conference,1650,1,1651,0.13
16,SWAMI DIVYA NAND,Jammu and Kashmir Nationalist People's Front,1618,2,1620,0.12
17,PERSEEN SINGH,Independent,1587,2,1589,0.12
18,NARESH KUMAR TALLA,Independent,1458,1,1459,0.11
19,GANESH CHOUDHARY,Hindustan Shakti Sena,1187,3,1190,0.09
20,VICKY KUMAR DOGRA,Independent,1163,2,1165,0.09
21,BANSI LAL,Independent,1051,8,1059,0.08
22,QARI ZAHEER ABBAS BHATTI,All India Forward Bloc,983,1,984,0.08
23,NOTA,None of the Above,4631,14,4645,0.36
