S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98
2,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),297888,3616,301504,32.79
3,ANIL K.ANTONY,Bharatiya Janata Party,231172,3234,234406,25.49
4,ADV.P.K.GEETHAKRISHNAN,Bahujan Samaj Party,3918,54,3972,0.43
5,JOY P.MATHEW,People's Party of India(secular),1173,8,1181,0.13
6,K.C.THOMAS,Independent,1080,21,1101,0.12
7,ADV.HARIKUMAR M.K.,Ambedkarite Party of India,735,27,762,0.08
8,ANOOP V.,Independent,557,52,609,0.07
9,NOTA,None of the Above,8268,143,8411,0.91
1,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45
2,M MUKESH,Communist Party of India (Marxist),288861,4465,293326,32.03
3,KRISHNAKUMAR G,Bharatiya Janata Party,160956,2254,163210,17.82
4,VIPINLAL VIDHYADHARAN,Bahujan Samaj Party,2163,31,2194,0.24
5,PREMACHANDRAN NAIR,Independent,1713,21,1734,0.19
6,GOKULAM SURESH KUMAR,Independent,1369,5,1374,0.15
7,PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party,793,42,835,0.09
8,TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST),689,19,708,0.08
9,JOSE SARANATH,Ambedkarite Party of India,553,6,559,0.06
10,BRO NOUSHAD SHERIFF J,Independent,545,34,579,0.06
11,P KRISHNAMMAL,Marxist Communist Party of India (United),537,12,549,0.06
12,N JAYARAJAN,Independent,407,42,449,0.05
13,NOTA,None of the Above,6437,109,6546,0.71
1,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29
2,V JOY,Communist Party of India (Marxist),321715,5652,327367,33.22
3,V MURALEEDHARAN,Bharatiya Janata Party,307710,4069,311779,31.64
4,SURABHI S,Bahujan Samaj Party,4485,39,4524,0.46
5,PRAKASH P L,Independent,1762,52,1814,0.18
6,SANTHOSH K,Independent,1146,58,1204,0.12
7,PRAKASH S,Independent,745,66,811,0.08
8,NOTA,None of the Above,9681,110,9791,0.99
1,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74
2,M.V. JAYARAJAN,Communist Party of India (Marxist),402614,6928,409542,38.5
3,C. RAGHUNATH,Bharatiya Janata Party,118352,1524,119876,11.27
4,RAMACHANDRAN BAVILEERI,Bharatheeya Jawan Kisan Party,2606,43,2649,0.25
5,K. SUDHAKARAN S/O. KRISHNAN,Independent,990,19,1009,0.09
6,SUDHAKARAN. K S/O. P GOPALAN,Independent,893,3,896,0.08
7,JOY JOHN PATTAR MADATHIL,Independent,616,2,618,0.06
8,JAYARAJ,Independent,478,10,488,0.05
9,JAYARAJAN S/O. VELAYUDHAN,Independent,421,4,425,0.04
10,VADI HAREENDRAN,Independent,289,54,343,0.03
11,C. BALAKRISHNAN YADAV,Independent,279,25,304,0.03
12,NARAYANA KUMAR,Independent,263,45,308,0.03
13,NOTA,None of the Above,8718,155,8873,0.83
1,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19
2,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,337920,4158,342078,35.52
3,PANNIAN RAVINDRAN,Communist Party of India,244433,3215,247648,25.72
4,ADV RAJENDRAN,Bahujan Samaj Party,2315,37,2352,0.24
5,ADV SHINE LAL M P,Independent,1446,37,1483,0.15
6,J J RUSSELL,Independent,1348,17,1365,0.14
7,S MINI,Socialist Unity Centre Of India (COMMUNIST),1098,11,1109,0.12
8,M S SUBI,Independent,588,11,599,0.06
9,CHALAI MOHANAN,Independent,396,4,400,0.04
10,NANDAVANAM SUSEELAN,Independent,391,29,420,0.04
11,SHAJU PALIYODU,Independent,348,40,388,0.04
12,SASI KONGAPALLY,Independent,228,5,233,0.02
13,NOTA,None of the Above,6684,69,6753,0.7
1,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65
2,K K SHAILAJA TEACHER,Communist Party of India (Marxist),437333,5689,443022,39.45
3,PRAPHUL KRISHNAN,Bharatiya Janata Party,110701,1278,111979,9.97
4,SHAFI T P,Independent,3715,49,3764,0.34
5,K K SHYLAJA,Independent,1164,15,1179,0.1
6,KUNHIKANNAN PAYYOLI,Independent,867,2,869,0.08
7,SHYLAJA,Independent,661,19,680,0.06
8,SHAFI,Independent,399,23,422,0.04
9,SYLAJA P,Independent,319,7,326,0.03
10,MURALIDHARAN,Independent,261,8,269,0.02
11,NOTA,None of the Above,2855,54,2909,0.26
1,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69
2,ANNIE RAJA,Communist Party of India,280594,2429,283023,26.09
3,K SURENDRAN,Bharatiya Janata Party,139868,1177,141045,13.0
4,P.R KRISHNANKUTTY,Bahujan Samaj Party,1946,27,1973,0.18
5,SATHYAN K.P,Independent,1017,42,1059,0.1
6,SINOJ A.C,Independent,885,18,903,0.08
7,PRASEETHA AZHIKODE,Independent,814,26,840,0.08
8,AJEEB MUHAMMED,Independent,796,8,804,0.07
9,P RADHAKRISHNAN,Independent,555,7,562,0.05
10,NOTA,None of the Above,6932,67,6999,0.65
1,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74
2,ELAMARAM KAREEM,Communist Party of India (Marxist),369884,4361,374245,34.33
3,M. T. RAMESH,Bharatiya Janata Party,178692,1974,180666,16.57
4,ARAMUKHAN,Bahujan Samaj Party,1684,31,1715,0.16
5,ARAVINDAKSHAN NAIR M. K.,Bharatheeya Jawan Kisan Party,1290,15,1305,0.12
6,RAGHAVAN S/O NARAYANAN NAIR,Independent,1057,39,1096,0.1
7,T. RAGHAVAN S/O VELLANKUTTY,Independent,1009,9,1018,0.09
8,N. RAGHAVAN S/O DAMU,Independent,753,29,782,0.07
9,SUBHA,Independent,705,7,712,0.07
10,DR. M. JYOTHIRAJ,Socialist Unity Centre Of India (COMMUNIST),641,12,653,0.06
11,ABDUL KAREEM S/O MAHAMMOOD,Independent,536,5,541,0.05
12,ABDUL KAREEM S/O AYAMMATH KUTTY,Independent,285,2,287,0.03
13,ABDUL KAREEM K. S/O ASSAIN,Independent,257,36,293,0.03
14,NOTA,None of the Above,6236,80,6316,0.58
1,E.T. MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35
2,V. VASEEF,Communist Party of India (Marxist),341510,2378,343888,31.69
3,DR. ABDUL SALAM,Bharatiya Janata Party,84529,832,85361,7.87
4,T. KRISHNAN,Bahujan Samaj Party,1392,25,1417,0.13
5,P.C. NARAYANAN,Bahujan Dravida Party,1304,5,1309,0.12
6,NASEEF ALI MULLAPPALLI,Independent,1154,14,1168,0.11
7,ABDULSALAM S/O MUHAMMED HAJI,Independent,771,12,783,0.07
8,THRISSUR NAZEER,Independent,459,25,484,0.04
9,NOTA,None of the Above,6650,116,6766,0.62
1,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81
2,K.S HAMZA,Communist Party of India (Marxist),324562,2194,326756,31.84
3,ADV. NIVEDIDA,Bharatiya Janata Party,123733,1065,124798,12.16
4,ABDUSSAMED MALAYAMPALLI,Independent,1634,19,1653,0.16
5,VINOD,Bahujan Samaj Party,1449,28,1477,0.14
6,HAMSA S/O MOIDUTTY,Independent,952,26,978,0.1
7,BINDHU W/O DEVARAJAN,Independent,826,21,847,0.08
8,HAMZA KADAVANDI,Independent,707,3,710,0.07
9,NOTA,None of the Above,6499,62,6561,0.64
1,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66
2,A VIJAYARAGHAVAN,Communist Party of India (Marxist),342798,3088,345886,33.39
3,C KRISHNAKUMAR,Bharatiya Janata Party,249568,2210,251778,24.31
4,K T PADMINI,Bahujan Samaj Party,2102,30,2132,0.21
5,ANNA KURIAKOSE,Independent,1416,17,1433,0.14
6,N S K PURAM SASIKUMAR,Independent,1151,26,1177,0.11
7,RAJESH K SON OF VELANKUTTY,Independent,1033,23,1056,0.1
8,RAJESH M SON OF MANI C,Independent,947,6,953,0.09
9,SIDHEEK IRUPPASSERY,Independent,913,26,939,0.09
10,C RAJAMANICKAM,Independent,516,4,520,0.05
11,NOTA,None of the Above,8724,69,8793,0.85
1,K.RADHAKRISHNAN,Communist Party of India (Marxist),398818,4629,403447,40.66
2,RAMYA HARIDAS,Indian National Congress,379231,4105,383336,38.63
3,DR T N SARASU,Bharatiya Janata Party,186441,1789,188230,18.97
4,HARI ARUMBIL,Bahujan Samaj Party,2835,36,2871,0.29
5,KRISHNANKUTTY KUNISSERY,Independent,2323,28,2351,0.24
6,NOTA,None of the Above,11918,115,12033,1.21
